country,attending-monthly,attending-yearly,trainee-monthly,trainee-yearly,pa-monthly,pa-yearly
Albania,$52.95,$529.53,$15.89,$132.38,$26.48,$132.38
Algeria,$79.98,$799.80,$23.99,$199.95,$39.99,$199.95
Andorra,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
Argentina,$35.94,$359.36,$10.78,$89.84,$17.97,$89.84
Australia,$74.97,$749.75,$22.49,$187.44,$37.49,$187.44
Austria,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
Bahrain,$79.98,$799.80,$23.99,$199.95,$39.99,$199.95
Belgium,$95.40,$953.95,$28.62,$238.49,$47.70,$238.49
Bermuda,$89.99,$899.90,$27.00,$224.97,$44.99,$224.97
Bolivia,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Bosnia & Herzegovina,$52.95,$529.53,$15.89,$132.38,$26.48,$132.38
Brazil,$50.35,$503.50,$15.11,$125.88,$25.18,$125.88
Bulgaria,$52.95,$529.53,$15.89,$132.38,$26.48,$132.38
Canada,$73.77,$737.74,$22.13,$184.43,$36.89,$184.43
Cape Verde,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Chile,$74.37,$743.74,$22.31,$185.94,$37.19,$185.94
Colombia,$34.03,$340.34,$10.21,$85.09,$17.02,$85.09
Costa Rica,$89.99,$899.90,$27.00,$224.97,$44.99,$224.97
Côte d’Ivoire,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Croatia,$52.95,$529.53,$15.89,$132.38,$26.48,$132.38
Czechia,$89.19,$891.89,$26.76,$222.97,$44.59,$222.97
Denmark,$112.61,"$1,126.13",$33.78,$281.53,$56.31,$281.53
Ecuador,$49.95,$499.50,$14.98,$124.87,$24.97,$124.87
Egypt,$22.92,$229.23,$6.88,$57.31,$11.46,$57.31
El Salvador,$49.95,$499.50,$14.98,$124.87,$24.97,$124.87
Equatorial Guinea,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Estonia,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
Fiji,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Finland,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
France,$95.40,$953.95,$28.62,$238.49,$47.70,$238.49
French Guiana,$95.40,$953.95,$28.62,$238.49,$47.70,$238.49
French Polynesia,$89.99,$899.90,$27.00,$224.97,$44.99,$224.97
Germany,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
Ghana,$39.94,$399.40,$11.98,$99.85,$19.97,$99.85
Gibraltar,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
Greece,$84.78,$847.85,$25.44,$211.96,$42.39,$211.96
